10 25 1.95, 14 41 11.56, 12 40 6.09, 9 93 1.16, 11 16 7.44, 11 23 3.83, 5 27 1.54, ,,,,,,,,,,,,,,,,,,,,,,,,
6 27 1.51, 6 18 0.3, 6 21 1.28, 6 24 1.58, 6 15 0.67, 6 28 0.63, 4 39 3.57, 4 51 1.6, 16 33 2.67, 9 22 1.33, 9 33 1.12, 2 71 4.79, 2 47 7.25, 2 75 8.09, 2 71 9.31, ,,,,,,,,,,,,,,,,
10 41 1.16, 14 17 2.27, 12 27 3.15, 1 38 2.9, 1 39 1.33, 1 28 2.39, 1 21 2.84, 7 14 1.07, 7 9 1.91, 13 57 1.41, 13 27 0.5, 15 20 4.44, 15 18 2.38, 8 57 0.86, 8 36 1.08, 6 23 2.65, 17 21 0.93, 17 24 1.61, 17 23 1.87, 4 69 0.36, 16 33 0.81, 2 76 4.14, 2 58 0.67, 2 77 2.95, 2 86 2.2, 5 11 2.92, 5 13 1.92, 5 14 3.23, 5 14 1.37, ,,
10 48 3.35, 18 66 1.4, 15 13 2.07, 15 29 3.17, 8 52 5.87, 8 80 0.72, 6 33 2.15, 6 35 1.93, 17 25 9.4, 17 16 5.25, 17 18 4.36, 17 28 4.3, 17 19 5.95, 17 18 8.62, 4 44 3.63, 17 24 8.21, 17 26 11.64, 4 68 2.3, 4 30 8.18, 16 28 4.55, 9 19 1.73, 9 26 1.02, 2 96 1.41, 2 53 4.7, 5 10 4.94, 5 12 2.38, 3 23 8.39, 3 31 2.17, ,,,
18 55 9.38, 12 29 6.82, 1 27 0.98, 7 12 1.55, 13 62 2.72, 13 63 2.2, 10 33 3.72, 10 48 3.07, 10 59 3.51, 14 35 10.55, 14 38 16.3, 14 23 7.81, 14 18 5.21, 12 45 0.8, 12 27 8.05, 12 45 5.13, 12 24 5.24, 7 3 1.94, 13 63 0.66, 13 39 1.66, 8 45 2.95, 8 53 5.65, 6 14 0.02, 6 12 0.77, 17 15 6.79, 17 28 0.07, 16 37 2.95, 11 20 2.57, 5 14 3.27, 3 32 5.34, 3 54 2.33, 
10 42 8.69, 18 73 5.19, 12 42 8.67, 12 52 7.11, 1 48 2.03, 1 26 1.2, 1 20 0.94, 1 40 0.05, 13 76 1.8, 8 52 4.64, 8 51 1.73, 8 67 4.65, 6 21 1.83, 16 28 5.21, 11 39 3.85, ,,,,,,,,,,,,,,,,
 2 51 15.59, 11 25 1.28, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 26 5.25, 10 20 7.5, 18 53 3.02, 13 37 3.35, 13 30 1.35, 15 52 2.78, 15 42 4.68, 15 39 2.81, 15 42 2.9, 8 36 3.34, 17 33 0.1, 17 24 2.35, 17 39 3.41, 17 24 5.34, 17 31 1.36, 16 30 6.12, 16 79 4.67, 5 31 5.84, 3 47 1.08, ,,,,,,,,,,,,
10 52 2.99, 10 45 10.91, 10 51 10.99, 18 61 1.21, 18 64 2.81, 18 56 5.02, 18 46 1.7, 7 13 4.49, 7 10 5.76, 13 59 2.16, 13 46 4.02, 4 66 2.54, 16 34 6.14, 16 44 6.27, 16 23 1.82, 2 54 13.9, 5 11 3.7, 5 10 2.75, 3 43 7.81, 3 40 4.82, ,,,,,,,,,,,
10 45 0.9, 10 31 0.35, 8 53 1.65, 6 26 0.22, 17 16 0.98, 16 26 1.32, 9 27 9.65, 9 19 3.88, 2 30 0.08, 2 85 0.84, 2 53 3.14, 11 22 1.4, 5 13 1.36, 5 13 5.31, 5 10 3.37, 3 50 2.62, ,,,,,,,,,,,,,,,
10 53 2.77, 13 71 2.71, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 28 7.36, 17 21 2.67, 17 24 8.37, 3 47 5.63, 3 43 5.56, 3 45 1.02, ,,,,,,,,,,,,,,,,,,,,,,,,,
10 44 1.26, 12 38 6.11, 7 38 0.63, 13 32 1.69, 10 34 2.66, 14 24 14.66, 13 59 2.89, 16 57 3.02, 2 60 9.14, 11 14 5.02, ,,,,,,,,,,,,,,,,,,,,,
10 56 1.11, 14 22 2.35, 14 32 3.59, 12 44 3.14, 12 39 6.76, 12 48 1.82, 12 46 4.97, 1 41 1.41, 7 8 2.28, 7 12 1.39, 7 15 1.97, 13 39 1.11, 8 59 1.55, 8 61 1.08, 8 36 0.38, 8 64 0.12, 8 62 0.86, 8 52 1.32, 8 52 1.32, 8 52 0.7, 8 34 0.95, 8 60 1.55, 8 57 0.58, 8 48 1.55, 8 57 1.45, 8 64 2.47, 8 41 1.69, 6 25 2.5, 17 21 1.24, 4 20 2.73, 16 41 0.66, 16 42 1.1
10 46 3.99, 10 44 5.07, 18 50 2.77, 18 77 3.6, 13 29 1.13, 15 26 4.92, 15 31 2.14, 15 28 3.48, 15 23 4.47, 15 25 2.06, 6 35 1.39, 6 10 0.69, 17 29 6.35, 17 30 7.03, 16 37 1.83, 16 21 6.72, 16 21 7.92, 2 82 6.82, 2 76 5.17, 11 21 10.99, 11 29 6.23, 3 27 0.79, ,,,,,,,,,
10 62 1.54, 10 54 1.89, 14 25 5.42, 14 27 3.72, 13 54 1.24, 13 75 0.78, 4 75 2.09, 4 63 0.31, 16 34 0.69, 16 40 0.82, 16 28 0.04, 9 23 6.66, 9 26 1.66, 9 23 6.6, 9 20 3.32, 1 37 2.23, 13 41 1.28, 15 20 3.45, 6 24 2.0, 6 30 0.86, 6 20 2.05, 17 30 1.65, 4 56 0.48, 4 47 1.9, 9 21 3.43, 2 69 5.73, 2 40 2.13, 2 49 5.02, 2 75 2.23, 2 43 0.27, 11 28 1.01, 
10 47 4.57, 10 40 3.43, 14 33 13.67, 10 29 4.61, 12 40 9.36, 1 39 1.3, 13 54 0.85, 13 52 2.12, 8 39 6.09, 8 50 4.22, 8 42 6.91, 8 35 4.58, 6 23 2.16, 17 27 4.3, 16 50 0.6, 11 6 2.64, 3 30 4.32, ,,,,,,,,,,,,,,
